"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
115,桃園市政府車輛行車事故鑑定委員會 受理鑑定案件分類統計表,380290000H 【交通局】,每半年,PDF,個人申請鑑定、憲警單位移送及司法機關囑託鑑定案件數統計,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1475c3c2-5f7f-4153-a83a-3597b3525fdc,交通及通訊 (125),個人申請鑑定、憲警單位移送及司法機關囑託鑑定案件數統計,個人申請鑑定、憲警單位移送及司法機關囑託鑑定案件數統計,原始資料,PDF,2017-09-12 09:25:48,380290000H 【交通局】,,2017-01-01,2017-07-18,政府資料開放授權條款－第1版,,,,,UTF-8,行車事故鑑定,2017-07-18 13:35:33,鍾盈貞,03-3625782,10045447@mail.tycg.gov.tw,
116,桃園市政府所屬機關公務人員人數-按年資分,380210000A 【人事處】,每年,CSV,年資別(年資別)、總計(總計)、平均年資(平均年資)、第0至5年(第0至5年)、第6至9年(第6至9年)、第10至14年(第10至14年)、第15至19年(第15至19年)、第20至24年(第20至24年)、第25年以上(第25年以上),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=14e096b4-f926-4ed6-a98b-273d49befaa1,公共資訊 (948),公務統計報表-桃園市政府所屬機關公務人員人數-按年資分,年資別(年資別)、總計(總計)、平均年資(平均年資)、第0至5年(第0至5年)、第6至9年(第6至9年)、第10至14年(第10至14年)、第15至19年(第15至19年)、第20至24年(第20至24年)、第25年以上(第25年以上),原始資料,CSV,2018-07-02 14:13:47,380210000A 【人事處】,,,,政府資料開放授權條款－第1版,,,,,Big5,公務統計,2017-11-13 13:41:04,陳建宇,03-3322101 分機7305,10018834@mail.tycg.gov.tw,
117,桃園市政府所屬機關公務人員人數-按教育程度分,380210000A 【人事處】,每年,CSV,教育程度(教育程度)、總計(總計)、博士(博士)、碩士(碩士)、大學畢業(大學畢業)、專科畢業(專科畢業)、高中職畢業(高中職畢業)、國初中以下(國初中以下),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=15235599-3935-4abe-ae56-1b7147cb4517,公共資訊 (948),公務統計報表-桃園市政府所屬機關公務人員人數-按教育程度分,教育程度(教育程度)、總計(總計)、博士(博士)、碩士(碩士)、大學畢業(大學畢業)、專科畢業(專科畢業)、高中職畢業(高中職畢業)、國初中以下(國初中以下),原始資料,CSV,2018-07-02 11:51:06,380210000A 【人事處】,,,,政府資料開放授權條款－第1版,,,,,Big5,公務統計,2017-11-13 13:44:44,陳建宇,03-3322101 分機7305,10018834@mail.tycg.gov.tw,
118,桃園市各項稅收稽徵成本(103年),380260000D 【地方稅務局】,不定期,CSV,稅目(稅目)、實徵淨額(千元)(實徵淨額)、成本總計(元)(成本總計)、直接成本小計(直接成本小計)、直接成本人事費(直接成本人事費)、直接成本業務費(稅捐稽徵業務業務計劃)(直接成本業務費)、直接成本獎補助及損失(直接成本獎補助及損失)、間接成本小計(間接成本小計)、間接成本人事費(間接成本人事費)、間接成本業務費(一般行政業務計劃)(間接成本業務費)、間接成本設備及投資費(間接成本設備及投資費)、間接成本其他(間接成本其他)、每千元成本(每千元成本),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=15614240-0b89-4dad-a062-39cac46873f0,公共資訊 (948),桃園市各項稅收稽徵成本(103年),稅目(稅目)、實徵淨額(千元)(實徵淨額)、成本總計(元)(成本總計)、直接成本小計(直接成本小計)、直接成本人事費(直接成本人事費)、直接成本業務費(稅捐稽徵業務業務計劃)(直接成本業務費)、直接成本獎補助及損失(直接成本獎補助及損失)、間接成本小計(間接成本小計)、間接成本人事費(間接成本人事費)、間接成本業務費(一般行政業務計劃)(間接成本業務費)、間接成本設備及投資費(間接成本設備及投資費)、間接成本其他(間接成本其他)、每千元成本(每千元成本),原始資料,CSV,2018-03-26 11:32:55,380260000D 【地方稅務局】,8,2014-01-01,2014-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,稅收稽徵成本,2018-03-26 11:24:47,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,
119,2016台灣燈會臨時公有停車場統計表,380220000A 【研究發展考核委員會】,不定期,CSV,"""剩餘車位,時間,停車場""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=15638421-0922-4215-9235-15fced52a89d,公共資訊 (948),本統計表提供2016台灣燈會期間(105/2/22~3/6)，桃園市政府所提供之臨時公有停車場(文智(90)、功學社2(94)、功學社1(93)、泰豐(95)、環溪二(92)、聯上2(97)、聯上1(96)、文中三對左(91)、風禾(100)、航空願景(99)、青溪(98)、海軍基地)每日剩餘停車數量統計,"""剩餘車位,時間,停車場""",原始資料,CSV,2016-03-17 10:54:47,380220000A 【研究發展考核委員會】,,2016-02-22,2016-03-09,政府資料開放授權條款－第1版,,,,,UTF-8,"""燈會, 統計, 停車場""",2016-03-17 01:53:03,劉先生,03-3322101#6955,10010155@mail.tycg.gov.tw,
120,桃園市都市計畫區域內公共工程實施數量,380110000G 【工務局】,每日,URL,桃園市都市計畫區域內公共工程實施數量,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1576dead-8c6a-449b-b512-c3091d5683e3,公共資訊 (948),桃園市都市計畫區域內公共工程實施數量,桃園市都市計畫區域內公共工程實施數量,原始資料,URL,2017-10-02 11:42:27,380110000G 【工務局】,,,,政府資料開放授權條款－第1版,,,,,,公共工程,2017-07-28 09:14:45,陳先生,03-3322101#6758,80013025@mail.tycg.gov.tw,
121,附屬單位決算營業基金現金流量綜計表(依現金流量項目分列),380200000A 【主計處】,每年,CSV,項目1(項目1)、項目2(項目2)、項目3(項目3)、預算數(預算數)、決算數(決算數)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=16a5c5a8-c0bc-49b3-815a-90ec0fb4e36f,公共資訊 (948),附屬單位決算營業基金現金流量綜計表(依現金流量項目分列),項目1(項目1)、項目2(項目2)、項目3(項目3)、預算數(預算數)、決算數(決算數)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),原始資料,CSV,2018-03-21 14:43:03,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位決算營業基金現金流量綜計表,2017-06-20 16:46:13,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,
122,桃園市三合一工業園區廠商名錄,380170000G 【經濟發展局】,不定期,CSV,工廠名稱、工廠電話、傳真電話、工廠地址、地號、用地總面積、營運狀態,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=16b2899d-8da5-42e2-b24b-95a5ff6bf8cc,開創事業 (10),桃園市三合一工業園區廠商相關資料,工廠名稱、工廠電話、傳真電話、工廠地址、地號、用地總面積、營運狀態,原始資料,CSV,2017-07-28 08:50:22,380170000G 【經濟發展局】,69,2010/1/1,2016/12/31,政府資料開放授權條款－第1版,,,,,UTF-8,"""經發局, 桃科, 桃園市三合一, 開創事業, 大潭, 環科""",2015-10-07 00:57:34,張小姐,4738025#13,196012@mail.tycg.gov.tw,
123,桃園市政府105年度消費諮詢專線電話（1950及5715分機）統計總表,380430000A 【法務局】,每年,CSV,類別(類別)、項目(項目)、消費諮詢(消費諮詢件數),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=16c56f2e-ee6f-402d-82f4-cae35772290a,公共資訊 (948),消費爭議申訴及調解案件類型分析（計量單位：件數）,類別(類別)、項目(項目)、消費諮詢(消費諮詢件數),原始資料,CSV,2018-03-08 11:33:25,380430000A 【法務局】,,2016-01-01,2016-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""法務局, 公共資訊, 申訴""",2017-06-06 15:20:40,魏小姐,03-3322101,10020340@mail.tycg.gov.tw,
124,附屬單位預算特別收入基金來源、用途及餘絀綜計表,380200000A 【主計處】,每年,CSV,主管機關(主管機關)、基金名稱(基金名稱)、本年度預算數_基金來源(本年度預算數_基金來源)、本年度預算數_基金用途(本年度預算數_基金用途)、本年度預算數_餘絀(本年度預算數_餘絀)、上年度預算數_基金來源(上年度預算數_基金來源)、上年度預算數_基金用途(上年度預算數_基金用途)、上年度預算數_餘絀(上年度預算數_餘絀)、本年度與上年度比較_基金來源(本年度與上年度比較_基金來源)、本年度與上年度比較_基金用途(本年度與上年度比較_基金用途)、本年度與上年度比較__餘絀(本年度與上年度比較__餘絀)、期初基金餘額(期初基金餘額)、解繳公庫(解繳公庫)、期末基金餘額(期末基金餘額),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=16da77d5-ef6a-4a7b-9f65-1e61b0c37740,公共資訊 (948),附屬單位預算特別收入基金來源、用途及餘絀綜計表,主管機關(主管機關)、基金名稱(基金名稱)、本年度預算數_基金來源(本年度預算數_基金來源)、本年度預算數_基金用途(本年度預算數_基金用途)、本年度預算數_餘絀(本年度預算數_餘絀)、上年度預算數_基金來源(上年度預算數_基金來源)、上年度預算數_基金用途(上年度預算數_基金用途)、上年度預算數_餘絀(上年度預算數_餘絀)、本年度與上年度比較_基金來源(本年度與上年度比較_基金來源)、本年度與上年度比較_基金用途(本年度與上年度比較_基金用途)、本年度與上年度比較__餘絀(本年度與上年度比較__餘絀)、期初基金餘額(期初基金餘額)、解繳公庫(解繳公庫)、期末基金餘額(期末基金餘額),原始資料,CSV,2018-03-21 14:23:07,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位預算特別收入基金來源和用途及餘絀綜計表,2017-06-20 14:49:51,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,
125,航空城都市計畫-附近地區第二期發展區區段徵收面積表,380360000G 【都市發展局】,不定期,CSV,項目(項目)、第二種住宅區(第二種住宅區)、第三種住宅區(第三種住宅區)、第四種住宅區(第四種住宅區)、第五種住宅區(第五種住宅區)、第五種住宅區_供合宜住宅使用(第五種住宅區_供合宜住宅使用)、第一種商業區(第一種商業區)、第二種商業區(第二種商業區)、第三種商業區( 第三種商業區)、乙種工業區(乙種工業區)、第三種產業專用區(第三種產業專用區)、車站專用區(車站專用區)、電信專用區(電信專用區)、瓦斯事業專用區(瓦斯事業專用區)、灌溉設施專用區(灌溉設施專用區)、河川區(河川區)、公園用地(公園用地)、綠地用地(綠地用地)、停車場用地(停車場用地)、文中小用地(文中小用地)、機關用地(機關用地)、電路鐵塔用地(電路鐵塔用地)、高速公路用地(高速公路用地)、道路用地(道路用地),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1731014f-f29b-4dd2-93a4-9c3fb47ea44f,公共資訊 (948),航空城都市計畫-附近地區第二期發展區區段徵收面積表,項目(項目)、第二種住宅區(第二種住宅區)、第三種住宅區(第三種住宅區)、第四種住宅區(第四種住宅區)、第五種住宅區(第五種住宅區)、第五種住宅區_供合宜住宅使用(第五種住宅區_供合宜住宅使用)、第一種商業區(第一種商業區)、第二種商業區(第二種商業區)、第三種商業區( 第三種商業區)、乙種工業區(乙種工業區)、第三種產業專用區(第三種產業專用區)、車站專用區(車站專用區)、電信專用區(電信專用區)、瓦斯事業專用區(瓦斯事業專用區)、灌溉設施專用區(灌溉設施專用區)、河川區(河川區)、公園用地(公園用地)、綠地用地(綠地用地)、停車場用地(停車場用地)、文中小用地(文中小用地)、機關用地(機關用地)、電路鐵塔用地(電路鐵塔用地)、高速公路用地(高速公路用地)、道路用地(道路用地),原始資料,CSV,2018-03-23 10:56:40,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""航空城, 區段徵收, 都發局""",2016-05-31 03:23:02,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
126,桃園市集老店,380170000G 【經濟發展局】,不定期,CSV,區(中壢)、分類(金牌)、名稱(龍鬚糖)、地址(新明路至中央西路二段（中壢觀光夜市B212攤號）),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=17538e3e-f21a-44bd-9436-ea5653481973,公共資訊 (948),桃園市集老店,區(中壢)、分類(金牌)、名稱(龍鬚糖)、地址(新明路至中央西路二段（中壢觀光夜市B212攤號）),原始資料,CSV,2018-03-09 16:23:29,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,Big5,桃園市集老店,2017-02-14 14:38:23,趙柏安,03-3366695#30,096010@mail.tycg.gov.tw,
127,(桃園市)104年度清明節抽驗潤餅皮檢驗結果,380140000I 【衛生局】,不定期,CSV,抽驗日期(抽驗日期)、檢體名稱(檢體名稱)、檢驗項目(檢驗項目)、抽驗廠商(抽驗廠商)、抽驗廠商地址(抽驗廠商地址)、廠商提供來源名稱(廠商提供來源名稱)、廠商提供來源地址(廠商提供來源地址)、檢驗結果(檢驗結果),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1766b428-0d70-44f5-b03b-124b784b6966,生活安全及品質 (144),(桃園市)104年度清明節抽驗潤餅皮檢驗結果,抽驗日期(抽驗日期)、檢體名稱(檢體名稱)、檢驗項目(檢驗項目)、抽驗廠商(抽驗廠商)、抽驗廠商地址(抽驗廠商地址)、廠商提供來源名稱(廠商提供來源名稱)、廠商提供來源地址(廠商提供來源地址)、檢驗結果(檢驗結果),原始資料,CSV,2018-03-09 14:24:22,380140000I 【衛生局】,5,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""抽驗, 檢驗結果""",2017-03-24 14:48:49,李先生,03-3340935#2412,10010135@mail.tycg.gov.tw,
128,桃園市政府消防局救災救護指揮中心受理公用電話量統計,380320000A 【消防局】,每年,CSV,年度(民國紀年統計年度。)、總來話次數_次(當年度受理公用電話總來話次數。)、總談話時間_時(當年度受理公用電話總通話時間，單位為小時。)、總談話時間_分(當年度受理公用電話總通話時間，單位為分。)、總談話時間_秒(當年度受理公用電話總通話時間，單位為秒。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=179f4385-ee78-4c2b-80cc-32a651def295,公共資訊 (948),提供桃園市政府消防局119報案專線年度受理公用電話報案次數及通話時間統計,年度(民國紀年統計年度。)、總來話次數_次(當年度受理公用電話總來話次數。)、總談話時間_時(當年度受理公用電話總通話時間，單位為小時。)、總談話時間_分(當年度受理公用電話總通話時間，單位為分。)、總談話時間_秒(當年度受理公用電話總通話時間，單位為秒。),原始資料,CSV,2018-01-15 10:13:10,380320000A 【消防局】,4,2014-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 119""",2017-05-16 16:20:30,羅先生,03-3379119-698,alliechang@mail.tyfd.gov.tw,
129,商圈逍遙遊,380170000G 【經濟發展局】,不定期,CSV,商圈(桃園市商圈逍遙遊)、商圈簡述(桃園市商圈逍遙遊)、商圈組織(桃園市商圈逍遙遊)、交通資訊(桃園市商圈逍遙遊),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=17b99481-3a11-4e8e-ba48-bc08b13d3a13,公共資訊 (948),桃園市商圈逍遙遊相關資訊,商圈(桃園市商圈逍遙遊)、商圈簡述(桃園市商圈逍遙遊)、商圈組織(桃園市商圈逍遙遊)、交通資訊(桃園市商圈逍遙遊),原始資料,CSV,2018-04-16 16:47:02,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""桃園站前商圈, 桃園市商圈, 六和商圈, 藝文商圈, 楊梅商圈, 龍元宮商圈, 捷運A8商圈, 大溪商圈, 大園商圈, 中原商圈, 八德商圈, 商圈逍遙遊, 中平商圈""",2017-08-01 11:30:43,許小姐,03-3322101#5121-5124,10014625@mail.tycg.gov.tw,
