編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
51,臺中市第二屆直轄市里長名冊,臺中市第二屆各區里長通訊名冊,http://opendata.taichung.gov.tw/dataset/3ad48fec-1a9f-11e8-8f43-00155d021202,姓名、區別、里別、辦公室電話、辦公室地址。,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,公共資訊,0,臺中市政府民政局,王怡青,0422289111#29106,全臺中市,中文,SERVICES,"臺中市里長,台中市里長,里長",
52,臺中市工會組織名冊,提供臺中市所轄工會組織現況及負責人相關資訊,http://opendata.taichung.gov.tw/dataset/3abb80bf-1a9f-11e8-8f43-00155d021202,序號、工會名稱、會址、工會電話、傳真、現任負責人、成立日期,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求職及就業,0,臺中市政府勞工局,江俊翰,22289111#35106,全臺中市,中文,rawData,"工會,職業工會,產業工會,企業工會",
53,臺中市處理刑事案件被害人－月別,臺中市各月各種刑事案件之被害人數統計資料,http://opendata.taichung.gov.tw/dataset/1b390b69-1b54-11e8-8f43-00155d021202,合計、總計、總計1、竊盜、竊盜1、竊盜2、竊盜3、竊盜4、傷害、傷害1、傷害2、殺人、殺人1、殺人2、妨害風化、妨害性自主罪、妨害性自主罪1、妨害性自主罪2、妨害性自主罪3、妨害性自主罪4、恐嚇取財、恐嚇取財1、恐嚇取財2、擄人勒贖、強盜搶奪、強盜搶奪1、強盜搶奪2、詐欺背信、詐欺背信1、詐欺背信2、妨害自由、駕駛過失、妨害婚姻及家庭、妨害公務、公共危險、其他,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,鍾麗涵,0423286981,臺中市,中文,rawData,"刑案, 犯罪, 被害",
54,臺中市政府警察局電話受理案件統計表,臺中市政府警察局受理各類電話報案統計件數,http://opendata.taichung.gov.tw/dataset/1b3907d6-1b54-11e8-8f43-00155d021202,時間、重大刑案、一般刑案、社會秩序、災害事件、交通事件、為民服務、統計比例,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,陳志益,04-23285141,臺中市,中文,rawData,"電話,報案",
55,臺中市長青福利服務-居家服務,提供居家服務單位名冊，服務區域、單位名稱、地址、電話,http://opendata.taichung.gov.tw/dataset/3abb8599-1a9f-11e8-8f43-00155d021202,行政區域、單位名稱、電話、地址、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,老年安養,0,臺中市政府社會局,洪曉筑,22289111+37413,,中文,rawData,居家服務,本報表為歷史資料已無更新，於107年1月1日起移撥本市衛生局
56,臺中市公設民營及私立托嬰中心,依據兒童及少年福利與權益保障法第23條及第75條辦理公私協力及私立托嬰中心，提供0-2歲兒童托育服務。,http://opendata.taichung.gov.tw/dataset/3abb8f22-1a9f-11e8-8f43-00155d021202,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、核定收托人數、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,出生及收養,0,臺中市政府社會局,高昕潔,04-22289111 分機: 37504,全臺中市,中文,rawData,"托嬰中心, 地理資料",本報表為歷史資料已無須更新
57,臺中市身心障礙福利團體,提供民眾臺中市身心障礙福利團體相關資訊,http://opendata.taichung.gov.tw/dataset/3abb9450-1a9f-11e8-8f43-00155d021202,團體名稱、地址、聯絡電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,44,臺中市政府社會局,張晉嘉,22289111+37322,全臺中市,中文,rawData,身心障礙團體,
58,105年臺中市統計年報-家庭生活類,收錄本市家庭生活相關統計數據,http://opendata.taichung.gov.tw/dataset/1b39245d-1b54-11e8-8f43-00155d021202,臺中市家庭收支主要指標、臺中市家庭住宅及現代化設備情形,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,2,臺中市政府主計處,劉家瑋,04-22289111-19314,臺中市,中文,rawData,家庭生活,
59,臺中市老人福利機構,依據老人福利機構設立標準第2條所定老人福利機構之分類，本報表涵蓋全國長期照顧機構及安養機構名冊。,http://opendata.taichung.gov.tw/dataset/3abb824b-1a9f-11e8-8f43-00155d021202,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、核定收容人數、收容對象_安養、收容對象_養護、收容對象_長照、收容對象_日照、收容對象_失智、收容對象_遊民、收容對象_其他、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,老年安養,67,臺中市政府社會局,張明憲,0422289111#37443,,中文,rawData,"臺中市老人福利機構, 地理資料",
60,臺中市社區照顧關懷據點,為建立社區照顧支持系統，發展具社區生活特色之初級預防性照顧體系，推動設置社區照顧關懷據點,http://opendata.taichung.gov.tw/dataset/3abb83ef-1a9f-11e8-8f43-00155d021202,單位名稱、轄區、地址、經度、緯度、電話聯絡人、簡介\r\n\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,老年安養,301,臺中市政府社會局,黃俞禎,04-22289111*37433,全臺中市,中文,rawData,"社區照顧關懷據點, 地理資料",
61,臺中市公設民營托育資源中心,資料說明	依據「公私協力托育資源中心推廣及服務品質提升計畫」辦理公私協力托育資源中心，提供托育媒合、托育服務諮詢、幼兒照顧諮詢、親子活動、兒童玩具及圖書室、親職教育訓練及社區宣導、外展服務等相關托育資源服務。,http://opendata.taichung.gov.tw/dataset/3abb88d9-1a9f-11e8-8f43-00155d021202,主管機關、辦理單位、成立日期、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,出生及收養,6,臺中市政府社會局,呂岱紋,04-22289111#37505,全臺中市,中文,rawData,"托育資源中心, 親子館, 地理資料",
62,臺中市婦女福利服務中心,提供婦女自我成長、親職教育、法律諮詢等多元的支持性服務，並透過在地婦女中心，建構友善女性及具性別意識之在地生活環境，強化基層婦女社會參與平台，宣導傳遞不同族群、生命階段、區域、生活層面的女性圖像,http://opendata.taichung.gov.tw/dataset/3abb9029-1a9f-11e8-8f43-00155d021202,主管機關、中心名稱、承辦單位、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,7,臺中市政府社會局,鐘國義,0422289111-37617,全臺中市,中文,rawData,"婦女中心, 地理資料",
63,臺中市身心障礙者庇護工場資料,提供台中市區內身心障礙者庇護工場之資訊及聯絡方式,http://opendata.taichung.gov.tw/dataset/3abb818e-1a9f-11e8-8f43-00155d021202,庇護工場名稱、提供產品、地址、聯絡電話\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求職及就業,8,臺中市政府勞工局,蘇巧蕙,22289111-35423,,中文,rawData,"庇護工場, 身心障礙者就業",
64,105年度臺中市地方總預算案附屬單位預算及綜計表(csv),本市105年度附屬單位預算綜計表之編製，係依據預算法規定，配合施政計畫加強為民服務，增進市民福利及市政建設為主要目標。以收支平衡，減輕本府年度負擔之原則下，依據各基金主管機關編造105年度附屬單位預算案，綜合彙編完成，並隨同本市總預算案送請市議會審議。,http://opendata.taichung.gov.tw/dataset/3ad73985-1a9f-11e8-8f43-00155d021202,105年度臺中市地方總預算案附屬單位預算及綜計表各項表件(csv),一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府主計處,劉靜宜,04-22289111#19220,,中文,rawData,"預算, 基金預算, 預決算",
65,臺中市身心障礙者社區資源中心,提供民眾臺中市身心障礙者社區資源中心相關資訊,http://opendata.taichung.gov.tw/dataset/3abb9386-1a9f-11e8-8f43-00155d021202,身心障礙者社區資源中心、承辦單位、行政區、地址、聯絡電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,6,臺中市政府社會局,朱芳廷,25344678,,中文,rawData,"通報中心, 社資中心",與臺中市生涯轉銜通報中心暨社區資源中心合併
66,臺中市路段動態資訊,路段動態資訊,http://opendata.taichung.gov.tw/dataset/3abb91ea-1a9f-11e8-8f43-00155d021202,"routeid(路段ID), level(服務水準級別), value(路段速率), traveltime(路段旅行時間), datacollecttime(資料時間)",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,路段動態資訊,
67,臺中市各區里活動中心基本資料一覽表,臺中市各區里活動中心基本資料一覽表,http://opendata.taichung.gov.tw/dataset/3abb976c-1a9f-11e8-8f43-00155d021202,"編號,區別,座落里別,聯合里別範圍,名稱,座落地址",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府民政局,盧羿廷,0422289111-29214,全臺中市,中文,rawData,活動中心,
68,高風險家庭關懷輔導處遇服務據點,提供單位名稱、地址及連絡電話，讓有相關問題、需求的民眾尋求協助。,http://opendata.taichung.gov.tw/dataset/1b38fba6-1b54-11e8-8f43-00155d021202,主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、備註、最後更新時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,4,臺中市政府社會局,姜浩雲,04-22289111*377518,全臺中市,中文,rawData,兒童及少年高風險家庭,
69,居家托育服務中心,提供本市設置居家托育服務中心資訊,http://opendata.taichung.gov.tw/dataset/1b38f319-1b54-11e8-8f43-00155d021202,團體名稱、委託單位、地址、聯絡電話、服務區域,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,公共資訊,6,臺中市政府社會局,蔡月霞,22289111分 機37507,臺中市,中文,rawData,"臺中市居家托育服務中心, 托育服務",
70,公設民營及私立托嬰中心,提供本市立案托嬰中心基本資料,http://opendata.taichung.gov.tw/dataset/1b38f3b2-1b54-11e8-8f43-00155d021202,編號、類別、區域、機構名稱、主任、郵遞區號、地址、電話、收托人數、立案日期、立案字號、收托時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,出生及收養,128,臺中市政府社會局,高昕潔,04-22289111 分機: 37504,全臺中市,中文,rawData,托嬰中心,
71,臺中市哺集乳室資訊,臺中市哺集乳室資訊,http://opendata.taichung.gov.tw/dataset/3abb96a3-1a9f-11e8-8f43-00155d021202,場所名稱、地址、電話、開放時間,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,生育保健,0,臺中市政府衛生局,陳秋雯,25265394#2420,,中文,rawData,哺集乳室,
72,臺中市觀光工廠,觀光工廠名稱、地址、觀光工廠預約電話、網址、經緯度、簡介,http://opendata.taichung.gov.tw/dataset/3ac4d5fa-1a9f-11e8-8f43-00155d021202,觀光工廠名稱、地址、觀光工廠預約電話、網址、經緯度、簡介,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,休閒旅遊,11,臺中市政府經濟發展局,洪恩婷,0422289111#31138,,中文,rawData,"臺中市, 觀光工廠, 地理資料",
73,臺中市環保餐館,環保餐館具備合法登記證、節能省水設施、外帶不主動提供免洗筷、實施垃圾分類、洗菜水回收再利用及使用在地食材等要素，其設立最主要的意義就是鼓勵民眾實行環保作為，只要民眾響應自行攜帶環保餐具至環保餐館用餐，就將以用餐優惠價格或贈送小菜等方式回饋給民眾；同時也減少民眾在用餐時所產生的廢棄物(免洗餐具)，降低環境的負荷。檢附本市環保餐館相關資料。,http://opendata.taichung.gov.tw/dataset/3ad1eedb-1a9f-11e8-8f43-00155d021202,序號、名稱、電話、地址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,休閒旅遊,41,臺中市政府環境保護局,吳柏逸,(04)22276011#66137,全臺中市,中文,rawData,"餐館,環保餐館",
74,臺中市政府警察局106年10月公告具高再犯危險之性侵害加害人人數統計表  ,臺中市政府警察局106年10月公告具高再犯危險之性侵害加害人人數統計表 ,http://opendata.taichung.gov.tw/dataset/3b720979-1a9f-11e8-8f43-00155d021202,月份、公告人數、新增人數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,林石卿,04-25294978,,中文,rawData,"高再犯,性侵害",
75,臺中市門牌號碼_WGS84,"由各區戶政事務所新增門牌點位與異動,twd97,wgs84",http://opendata.taichung.gov.tw/dataset/7d5f6c61-eb9a-4485-ae90-642b55862064,省市縣市代碼、鄉鎮市區、村里、鄰、街、路段、地區、巷、弄、號、橫坐標、縱坐標,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府民政局,郭佩怡,04-22289111轉29413,臺中市,中文,rawData,"門牌號碼,地址,地理資料",
76,無故未出席協商企業經營者名單,無故未出席協商企業經營者名單(105年1月至106年12月),http://opendata.taichung.gov.tw/dataset/3acbe4a5-1a9f-11e8-8f43-00155d021202,相對人、申訴人、協商日期、申訴內容要旨,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,147,臺中市政府法制局,許從宜,04-22289111#23034,全臺中市,中文,rawData,消費爭議,
77,臺中市所屬大型運動場館,提供臺中市所屬較大型運動場館名稱、位置及聯絡方式。,http://opendata.taichung.gov.tw/dataset/3ace7ff7-1a9f-11e8-8f43-00155d021202,場地名稱、區域、地址、經度、緯度、管理機關、聯絡人、連絡電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,休閒旅遊,8,運動局,張旻皙,04-22289111#55129,臺灣、臺中市,中文,rawData,運動場館,
