"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"44","臺北市身心障礙者服務-臺北市身心障礙福利會館","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=63ffcab9-c4bb-407f-a4c3-3b87d149ba3f","公共資訊","身心障礙者服務-臺北市身心障礙福利會館","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:25","臺北市政府社會局","1","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:58:24","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"45","臺北市銀髮族服務-公立老人安養護機構","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=28c08fda-c7d1-4485-9791-8effde726635","老年安養","銀髮族服務-公立老人安養護機構","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","原始資料","2018-07-05 11:07:24","臺北市政府社會局","2","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:04","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"46","臺北市銀髮族服務-公辦民營老人安養護機構","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=f59b76f0-9c63-4242-9d1e-19364de95814","公共資訊","銀髮族服務-公設民營老人安養護機構","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:23","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:06","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"47","臺北市銀髮族服務-老人公寓","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=cef4eddf-7d49-46ea-b94c-33fcde55218a","公共資訊","銀髮族服務-老人公寓","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:23","臺北市政府社會局","4","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:09","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"48","臺北市銀髮族服務-老人營養餐飲","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=e3cec007-4212-4944-989e-5078e4f5f3bb","公共資訊","銀髮族服務-老人營養餐飲","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:20","臺北市政府社會局","21","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:20","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"49","臺北市銀髮族服務-居家服務","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=40c16fac-ff03-4da7-91a0-75272f732149","公共資訊","銀髮族服務-居家服務","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:17","臺北市政府社會局","13","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:17","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"50","臺北市銀髮族服務-長青學苑","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=67b63404-89b8-4214-8096-3322204144e6","公共資訊","銀髮族服務-長青學苑","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:15","臺北市政府社會局","26","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:19","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"51","臺北市銀髮族服務-臺北市各老人服務中心","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=78dfc9a2-36e2-4ef5-beaa-a74633ba3d26","公共資訊","銀髮族服務-臺北市各老人服務中心","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:15","臺北市政府社會局","14","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:02","呂靖文","02-27208889-1603","jean6710@mail.taipei.gov.tw",""
"52","臺北市銀髮族服務-臺北市各區公所","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=f17b2bdc-1cff-4caf-83fb-561b3d272f00","公共資訊","銀髮族服務-臺北市各區公所","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:14","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:15","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"53","臺北市銀髮族服務-臺北市老人日間照顧中心","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=c8ac5650-2a3a-4d80-8cb0-d26f89f7395f","公共資訊","銀髮族服務-臺北市老人日間照顧中心","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:14","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:07","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"54","臺北市銀髮族服務-臺北市長期照顧管理中心","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=61a6449b-9a0e-4b1c-848b-81bb22350379","公共資訊","銀髮族服務-臺北市長期照顧管理中心","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:12","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:57:14","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"55","臺北市生活危機服務-臺北市社會福利服務中心","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=ece023db-a5f8-4399-97da-f04d7f4009e3","交通及通訊","生活危機服務-臺北市社會福利服務中心","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:09","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:58:43","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"56","臺北市嬰幼兒照顧服務-親子館","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=fd4779d0-827d-4ab3-8f65-2a356abad6d9","交通及通訊","嬰幼兒照顧服務-親子館","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:08","臺北市政府社會局","14","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","性別平等,性平","2014-12-31 11:58:53","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"57","臺北市低收、中低收入戶服務-平價住宅","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=5d65fcc3-4290-4806-840c-60b345a1c893","交通及通訊","低收、中低收入戶服務-平價住宅","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:07","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:58:40","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"58","臺北市身心障礙者服務-全國性身心障礙福利基金會","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=bb6adffe-2300-4ea7-8f25-1073340f922e","交通及通訊","身心障礙者服務-全國性身心障礙福利基金會","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:07","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:58:38","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
"59","臺北市身心障礙者服務-康復之家一覽表","臺北市政府社會局","每天","XML","https://beta.data.taipei/dataset/detail/metadata?id=a72055e3-812b-4e10-82ab-f44b692a7ff5","交通及通訊","身心障礙者服務-康復之家一覽表","機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期","網路服務","2018-07-05 11:07:04","臺北市政府社會局","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","","2014-12-31 11:58:26","吳祐綺","02-27208889#6995","youchi@mail.taipei.gov.tw",""
